"~~~~~   CUI   ~~~~~",
"Vuln ID","Status","Comments","Finding Details",
"V-230221","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230222","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230223","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230224","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230225","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: pass",
"V-230226","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230227","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: pass",
"V-230228","Not A Finding","# grep -E '(auth.*|authpriv.*|daemon.*)' /etc/rsyslog.conf
# Don't log private authentication messages!
*.info;mail.none;authpriv.none;cron.none                /var/log/messages
# The authpriv file has restricted access.
authpriv.*                                              /var/log/secure
daemon.* /var/log/secure
auth.* /var/log/secure","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: fail",
"V-230229","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230230","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230231","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230232","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230233","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230234","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230235","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230236","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230237","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230238","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230239","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230240","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230241","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230243","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230244","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230245","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230246","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
